Sample	Measure	Status
Tco-757_2	Adapter Content	pass
Tco-76_1_	Basic Statistics	pass
Tco-76_1_	Per base sequence quality	pass
Tco-76_1_	Per sequence quality scores	pass
Tco-76_1_	Per base sequence content	fail
Tco-76_1_	Per sequence GC content	pass
Tco-76_1_	Per base N content	pass
Tco-76_1_	Sequence Length Distribution	pass
Tco-76_1_	Sequence Duplication Levels	pass
Tco-76_1_	Adapter Content	pass
Tco-76_2_	Basic Statistics	pass
Tco-76_2_	Per base sequence quality	pass
Tco-76_2_	Per sequence quality scores	pass
Tco-76_2_	Per base sequence content	fail
Tco-76_2_	Per sequence GC content	pass
Tco-76_2_	Per base N content	pass
Tco-76_2_	Sequence Length Distribution	pass
Tco-76_2_	Sequence Duplication Levels	pass
Tco-76_2_	Adapter Content	pass
Tco-851_1	Basic Statistics	pass
Tco-851_1	Per base sequence quality	pass
Tco-851_1	Per sequence quality scores	pass
Tco-851_1	Per base sequence content	fail
Tco-851_1	Per sequence GC content	pass
Tco-851_1	Per base N content	pass
Tco-851_1	Sequence Length Distribution	pass
Tco-851_1	Sequence Duplication Levels	pass
Tco-851_1	Adapter Content	pass
Tco-851_2	Basic Statistics	pass
Tco-851_2	Per base sequence quality	pass
Tco-851_2	Per sequence quality scores	pass
Tco-851_2	Per base sequence content	fail
Tco-851_2	Per sequence GC content	pass
Tco-851_2	Per base N content	pass
Tco-851_2	Sequence Length Distribution	pass
Tco-851_2	Sequence Duplication Levels	pass
Tco-851_2	Overrepresented sequences	pass
Tco-851_2	Adapter Content	pass
Tco-859_1	Basic Statistics	pass
Tco-859_1	Per base sequence quality	pass
Tco-859_1	Per sequence quality scores	pass
Tco-859_1	Per base sequence content	fail
Tco-859_1	Per sequence GC content	pass
Tco-859_1	Per base N content	pass
Tco-859_1	Sequence Length Distribution	pass
Tco-859_1	Sequence Duplication Levels	pass
Tco-859_1	Adapter Content	pass
Tco-859_2	Basic Statistics	pass
Tco-859_2	Per base sequence quality	pass
Tco-859_2	Per sequence quality scores	pass
Tco-859_2	Per base sequence content	fail
Tco-859_2	Per sequence GC content	pass
Tco-859_2	Per base N content	pass
Tco-859_2	Sequence Length Distribution	pass
Tco-859_2	Sequence Duplication Levels	pass
Tco-859_2	Adapter Content	pass
Tco-86_1_	Basic Statistics	pass
Tco-86_1_	Per base sequence quality	pass
Tco-86_1_	Per sequence quality scores	pass
Tco-86_1_	Per base sequence content	fail
Tco-86_1_	Per sequence GC content	pass
Tco-86_1_	Per base N content	pass
Tco-86_1_	Sequence Length Distribution	pass
Tco-86_1_	Sequence Duplication Levels	pass
Tco-86_1_	Adapter Content	pass
Tco-86_2_	Basic Statistics	pass
Tco-86_2_	Per base sequence quality	pass
Tco-86_2_	Per sequence quality scores	pass
Tco-86_2_	Per base sequence content	fail
Tco-86_2_	Per sequence GC content	pass
Tco-86_2_	Per base N content	pass
Tco-86_2_	Sequence Length Distribution	pass
Tco-86_2_	Sequence Duplication Levels	pass
Tco-86_2_	Adapter Content	pass
Tco-878_1	Basic Statistics	pass
Tco-878_1	Per base sequence quality	pass
Tco-878_1	Per sequence quality scores	pass
Tco-878_1	Per base sequence content	fail
Tco-878_1	Per sequence GC content	pass
Tco-878_1	Per base N content	pass
Tco-878_1	Sequence Length Distribution	pass
Tco-878_1	Sequence Duplication Levels	pass
Tco-878_1	Adapter Content	pass
Tco-878_2	Basic Statistics	pass
Tco-878_2	Per base sequence quality	pass
Tco-878_2	Per sequence quality scores	pass
Tco-878_2	Per base sequence content	fail
Tco-878_2	Per sequence GC content	pass
Tco-878_2	Per base N content	pass
Tco-878_2	Sequence Length Distribution	pass
Tco-878_2	Sequence Duplication Levels	pass
Tco-878_2	Adapter Content	pass
Tco-892_1	Basic Statistics	pass
Tco-892_1	Per base sequence quality	pass
Tco-892_1	Per sequence quality scores	pass
Tco-892_1	Per base sequence content	fail
Tco-892_1	Per sequence GC content	pass
Tco-892_1	Per base N content	pass
Tco-892_1	Sequence Length Distribution	pass
Tco-892_1	Sequence Duplication Levels	pass
Tco-892_1	Adapter Content	pass
Tco-892_2	Basic Statistics	pass
Tco-892_2	Per base sequence quality	pass
Tco-892_2	Per sequence quality scores	pass
Tco-892_2	Per base sequence content	fail
Tco-892_2	Per sequence GC content	pass
Tco-892_2	Per base N content	pass
Tco-892_2	Sequence Length Distribution	pass
Tco-892_2	Sequence Duplication Levels	pass
Tco-892_2	Adapter Content	pass
Tco-907_1	Basic Statistics	pass
Tco-907_1	Per base sequence quality	pass
Tco-907_1	Per sequence quality scores	pass
Tco-907_1	Per base sequence content	fail
Tco-907_1	Per sequence GC content	pass
Tco-907_1	Per base N content	pass
Tco-907_1	Sequence Length Distribution	pass
Tco-907_1	Sequence Duplication Levels	pass
Tco-907_1	Overrepresented sequences	pass
Tco-907_1	Adapter Content	pass
Tco-907_2	Basic Statistics	pass
Tco-907_2	Per base sequence quality	pass
Tco-907_2	Per sequence quality scores	pass
Tco-907_2	Per base sequence content	fail
Tco-907_2	Per sequence GC content	pass
Tco-907_2	Per base N content	pass
Tco-907_2	Sequence Length Distribution	pass
Tco-907_2	Sequence Duplication Levels	pass
Tco-907_2	Overrepresented sequences	pass
Tco-907_2	Adapter Content	pass
Tco-935_1	Basic Statistics	pass
Tco-935_1	Per base sequence quality	pass
Tco-935_1	Per sequence quality scores	pass
Tco-935_1	Per base sequence content	fail
Tco-935_1	Per sequence GC content	pass
Tco-935_1	Per base N content	pass
Tco-935_1	Sequence Length Distribution	pass
Tco-935_1	Sequence Duplication Levels	pass
Tco-935_1	Overrepresented sequences	pass
Tco-935_1	Adapter Content	pass
Tco-935_2	Basic Statistics	pass
Tco-935_2	Per base sequence quality	pass
Tco-935_2	Per sequence quality scores	pass
Tco-935_2	Per base sequence content	fail
Tco-935_2	Per sequence GC content	pass
Tco-935_2	Per base N content	pass
Tco-935_2	Sequence Length Distribution	pass
Tco-935_2	Sequence Duplication Levels	pass
Tco-935_2	Adapter Content	pass
Tco-949_1	Basic Statistics	pass
Tco-949_1	Per base sequence quality	pass
Tco-949_1	Per sequence quality scores	pass
Tco-949_1	Per base sequence content	fail
Tco-949_1	Per sequence GC content	pass
Tco-949_1	Per base N content	pass
Tco-949_1	Sequence Length Distribution	pass
Tco-949_1	Sequence Duplication Levels	pass
Tco-949_1	Overrepresented sequences	pass
Tco-949_1	Adapter Content	pass
Tco-949_2	Basic Statistics	pass
Tco-949_2	Per base sequence quality	pass
Tco-949_2	Per sequence quality scores	pass
Tco-949_2	Per base sequence content	fail
Tco-949_2	Per sequence GC content	pass
Tco-949_2	Per base N content	pass
Tco-949_2	Sequence Length Distribution	pass
Tco-949_2	Sequence Duplication Levels	pass
Tco-949_2	Overrepresented sequences	pass
Tco-949_2	Adapter Content	pass
Tco-960_1	Basic Statistics	pass
Tco-960_1	Per base sequence quality	pass
Tco-960_1	Per sequence quality scores	pass
Tco-960_1	Per base sequence content	fail
Tco-960_1	Per sequence GC content	pass
Tco-960_1	Per base N content	pass
Tco-960_1	Sequence Length Distribution	pass
Tco-960_1	Sequence Duplication Levels	pass
Tco-960_1	Overrepresented sequences	pass
Tco-960_1	Adapter Content	pass
Tco-960_2	Basic Statistics	pass
Tco-960_2	Per base sequence quality	pass
Tco-960_2	Per sequence quality scores	pass
Tco-960_2	Per base sequence content	fail
Tco-960_2	Per sequence GC content	pass
Tco-960_2	Per base N content	pass
Tco-960_2	Sequence Length Distribution	pass
Tco-960_2	Sequence Duplication Levels	pass
Tco-960_2	Adapter Content	pass
Tco-964_1	Basic Statistics	pass
Tco-964_1	Per base sequence quality	pass
Tco-964_1	Per sequence quality scores	pass
Tco-964_1	Per base sequence content	fail
Tco-964_1	Per sequence GC content	pass
Tco-964_1	Per base N content	pass
Tco-964_1	Sequence Length Distribution	pass
Tco-964_1	Sequence Duplication Levels	pass
Tco-964_1	Overrepresented sequences	pass
Tco-964_1	Adapter Content	pass
Tco-964_2	Basic Statistics	pass
Tco-964_2	Per base sequence quality	pass
Tco-964_2	Per sequence quality scores	pass
Tco-964_2	Per base sequence content	fail
Tco-964_2	Per sequence GC content	pass
Tco-964_2	Per base N content	pass
Tco-964_2	Sequence Length Distribution	pass
Tco-964_2	Sequence Duplication Levels	pass
Tco-964_2	Overrepresented sequences	pass
Tco-964_2	Adapter Content	pass
Tco-999_1	Basic Statistics	pass
Tco-999_1	Per base sequence quality	pass
Tco-999_1	Per sequence quality scores	pass
Tco-999_1	Per base sequence content	fail
Tco-999_1	Per sequence GC content	pass
Tco-999_1	Per base N content	pass
Tco-999_1	Sequence Length Distribution	pass
Tco-999_1	Sequence Duplication Levels	pass
Tco-999_1	Adapter Content	pass
Tco-999_2	Basic Statistics	pass
Tco-999_2	Per base sequence quality	pass
Tco-999_2	Per sequence quality scores	pass
Tco-999_2	Per base sequence content	fail
Tco-999_2	Per sequence GC content	pass
Tco-999_2	Per base N content	pass
Tco-999_2	Sequence Length Distribution	pass
Tco-999_2	Sequence Duplication Levels	pass
Tco-999_2	Adapter Content	pass
